id,desktop_inventory_element,element,location,model,desktop_inventory,serial,quantity,millicom_code,is_asset,element_type_asset,element_category_asset,comments,desktop_inventory_process_result_detail,check_field_service_login,check_field_service_date,check_inventory_responsible_login,check_inventory_responsible_date,internal_location_id,missing_element_created_for_partial_diff
29169,NULL,274577,CUN0052,1002041,1815,A05T113843,1,A05T113843,Y,11,62,,179843,NULL,NULL,NULL,NULL,NULL,0
29170,NULL,274578,CUN0052,1002041,1815,A05T113844,1,A05T113844,Y,11,62,,179844,NULL,NULL,NULL,NULL,NULL,0
29171,NULL,274579,CUN0052,1002041,1815,A05T113845,1,A05T113845,Y,11,62,,179845,NULL,NULL,NULL,NULL,NULL,0
29172,NULL,278391,CUN0052,1000659,1815,626,1,A06G143772,Y,31,7,,179846,NULL,NULL,NULL,NULL,NULL,0
29173,NULL,266608,CUN0052,1000539,1815,56763,1,A06G144116,Y,225,7,,179847,NULL,NULL,NULL,NULL,NULL,0
39660,NULL,278377,PLATFORM,1000659,1843,A06N065003,1,A06G144335,Y,31,7,"SE TRASLADA DE PLATAFORM. SE ASIGNA MIC CODE.",232892,pedro.caviedes,"2010-12-22 09:04:54",AO79049480,"2010-12-22 10:23:54",NULL,0
39661,NULL,278369,PLATFORM,1000602,1843,A06G144344,1,A06G144344,Y,20,7,"SE EFECTUA TRASLADO DE PLATAFORMA",232893,pedro.caviedes,"2010-12-22 09:04:54",AO79049480,"2010-12-22 10:23:54",NULL,0
44542,294480,286734,MSCBOG03_DESEMPENO,1002740,2220,USE640N1M1,1,C01G106792,Y,101,6,Ninguno,284828,fabian.aranda,"2011-01-24 10:00:47",AF3086222,"2011-01-17 20:53:36",NULL,0
53894,NULL,78628,MWSUR34,1000656,2967,36491,1,A06G128135,Y,225,7,,339241,JC80206825,"2011-02-07 17:38:50",FS16658896,"2011-02-07 09:35:06",NULL,0
58383,NULL,1038534,WAR01BAR,1004630,2847,A06G151956,1,A06G151956,Y,20,7,"SE REPORTA MOVIMIENTO",365843,RG1129582037,"2011-02-21 00:11:59",JC1083867636,"2011-02-15 19:11:42",NULL,0
64864,NULL,158735,PLATFORM,1001789,2454,9503,1,A06G146685,Y,225,7,,407606,oscar.oviedo,"2011-03-03 22:50:31",LQ11318319,"2011-03-04 21:25:24",NULL,0
64865,NULL,158461,PLATFORM,1001789,2454,9509,1,A06G146684,Y,225,7,,407605,oscar.oviedo,"2011-03-03 22:50:31",LQ11318319,"2011-03-04 21:25:24",NULL,0
64875,NULL,96950,PLATFORM,1000020,2454,111841,1,A06G146695,Y,236,7,,407595,oscar.oviedo,"2011-03-03 22:50:31",LQ11318319,"2011-03-04 21:25:23",NULL,0
126861,1221033,1128130,WAR01CAL,1004854,11354,1101219805-289/10033958,1,A05G230360,Y,186,53,"CAMBIO DE UBICACI?N INTERNA VIENE DEL SECTOR E1-N4-C1",1444779,JR6135644,"2012-09-26 12:59:55",FS16658896,"2012-09-26 12:51:51",246,0
126862,1221032,1126364,WAR01CAL,1005394,11354,11CN100641971,1,A05T117959,Y,733,62,"CAMBIO DE UBICACI?N INTERNA VIENE DEL SECTOR E1-N4-C1",1444780,JR6135644,"2012-09-26 12:59:55",FS16658896,"2012-09-26 12:51:51",246,0
126863,1221031,1109739,WAR01CAL,1004678,11354,1110705501-049/10031767,1,A05G226372,Y,186,53,"Cambio DE ubicaci?n interna vienen de E1-N4-C1",1444781,JR6135644,"2012-09-26 12:59:55",FS16658896,"2012-09-26 12:51:51",225,0
126864,1221030,1109738,WAR01CAL,1004678,11354,1110705501-077/10031767,1,A05G226371,Y,186,53,"Cambio DE ubicaci?n interna vienen de E1-N4-C1",1444782,JR6135644,"2012-09-26 12:59:55",FS16658896,"2012-09-26 12:51:51",225,0
126865,1221026,1082389,WAR01CAL,1004854,11354,1110119803-425/10033958,1,A05G279842,Y,186,53,"CAMBIO DE UBICACI?N INTERNA VIENE DEL SECTOR E1-N4-C1",1444783,JR6135644,"2012-09-26 12:59:56",FS16658896,"2012-09-26 12:51:51",246,0
126866,1221027,1082393,WAR01CAL,1004854,11354,1110119803-398/10033958,1,A05G279838,Y,186,53,"CAMBIO DE UBICACI?N INTERNA VIENE DEL SECTOR E1-N4-C1",1444784,JR6135644,"2012-09-26 12:59:56",FS16658896,"2012-09-26 12:51:51",246,0
126868,1221029,1109737,WAR01CAL,1004678,11354,1110705501-014/10031767,1,A05G226370,Y,186,53,"Cambio DE ubicaci?n interna vienen de E1-N4-C1",1444786,JR6135644,"2012-09-26 12:59:56",FS16658896,"2012-09-26 12:51:51",225,0
126871,1221018,267689,WAR01CAL,1000025,11354,06BASB0213987,1,A05G156610,Y,186,53,"CAMBIO DE UBICACI?N INTERNA VIENE DEL SECTOR E1-N4-C1",1444789,JR6135644,"2012-09-26 12:59:56",FS16658896,"2012-09-26 12:51:51",246,0
126872,1221015,111406,WAR01CAL,1000025,11354,B0180732,1,A05G156609,Y,186,53,"CAMBIO DE UBICACI?N INTERNA VIENE DEL SECTOR E1-N4-C1",1444790,JR6135644,"2012-09-26 12:59:56",FS16658896,"2012-09-26 12:51:51",246,0
126873,1221014,111395,WAR01CAL,1000025,11354,B0180804,1,A05G156607,Y,186,53,"CAMBIO DE UBICACI?N INTERNA VIENE DEL SECTOR E1-N4-C1",1444791,JR6135644,"2012-09-26 12:59:56",FS16658896,"2012-09-26 12:51:51",246,0
