id,element_model_plu
3181,1000146
3182,1000146
3183,1000624
3184,1000624
3185,1000624
3228,1000630
3229,1000630
3233,1000146
3236,1000146
3237,1000630
3238,1000630
3239,1000630
3240,1000630
3241,1000630
3242,1000630
3243,1000630
3244,1000630
3245,1000630
3246,1000630
3247,1000630
3248,1000630
3249,1000630
3268,1000658
3269,1000657
3270,1000657
3272,1000661
3273,1000661
3274,1000661
3279,1000146
3282,1000918
3285,1000661
3288,1000146
3303,1000522
3304,1000522
3305,1000598
3306,1000661
3312,1000661
3313,1000661
3314,1000661
3315,1000661
3317,1000657
3319,1000146
3320,1000146
3321,1000146
3322,1000146
3323,1000146
3324,1000146
3325,1000146
3326,1000146
3327,1000146
3328,1000146
3329,1000146
3330,1000146
3331,1000146
3332,1000146
3333,1000146
3334,1000146
3335,1000146
3359,1000084
3453,1000287
3462,1000146
3463,1000146
3464,1000146
3465,1000146
3466,1000146
3467,1000146
3468,1000146
3469,1000146
3470,1000146
3471,1000146
3472,1000146
3473,1000146
3474,1000146
3475,1000146
3476,1000146
3477,1000146
3478,1000146
3479,1000146
3480,1000146
3481,1000146
3482,1000146
3483,1000146
3484,1000146
3485,1000146
3486,1000146
3487,1000146
3488,1000146
3489,1000146
3490,1000146
3520,1000092
3521,1000092
3525,1000661
3526,1000305
3527,1000305
3528,1000305
3535,1001723
3537,1000084
3547,1000598
3548,1000597
3549,1000661
3550,1000661
3552,1000661
3554,1000661
3559,1000661
3560,1000661
3561,1000661
3562,1000661
3568,1000661
3569,1000661
3570,1000661
3571,1000661
3591,1000518
3592,1000518
3593,1000518
3594,1000518
3595,1000518
3596,1000518
3597,1000518
3598,1000518
3599,1000518
3600,1000518
3601,1000518
3602,1000518
3603,1000518
3604,1000518
3605,1000518
3606,1000518
3607,1000518
3608,1000518
3609,1000518
3610,1000518
3611,1000518
3612,1000518
3613,1000518
3614,1000518
3615,1000518
3616,1000518
3617,1000518
3618,1000518
3619,1000518
3620,1000518
3621,1000518
3622,1000518
3623,1000518
3624,1000518
3625,1000518
3626,1000518
3627,1000518
3628,1000518
3629,1000518
3630,1000518
3631,1000518
3632,1000518
3633,1000518
3634,1000518
3635,1000518
3636,1000518
3637,1000518
3638,1000518
3639,1000518
3640,1000518
3641,1000518
3642,1000518
3643,1000518
3644,1000518
3677,1000148
3678,1000146
3686,1000517
3691,1000148
3692,1001039
3726,1000518
3780,1000517
3781,1000517
3782,1000517
3783,1000517
3784,1000517
3785,1000517
3786,1000517
3788,1000517
3789,1000517
3790,1000517
3791,1000517
3792,1000517
3793,1000517
3794,1000517
3795,1000517
3796,1000517
3797,1000517
3798,1000517
3799,1000517
3800,1000517
3801,1000517
3802,1000517
3803,1000517
3804,1000517
3805,1000517
3806,1000517
3807,1000517
3808,1000517
3809,1000517
3810,1000517
3811,1000517
3812,1000517
3813,1000517
3814,1000517
3815,1000517
3816,1000517
3817,1000517
3818,1000517
3819,1000517
3820,1000517
3821,1000517
3822,1000517
3823,1000517
3824,1000517
3825,1000517
3826,1000517
3827,1000517
3828,1000517
3829,1000517
3830,1000517
3831,1000517
3832,1000518
3833,1000518
3834,1000518
3835,1000518
3836,1000518
3837,1000518
3838,1000518
3839,1000518
3840,1000518
3841,1000518
3842,1000518
3843,1000518
3844,1000517
3845,1000517
3846,1000517
3847,1000517
3848,1000517
3849,1000517
3850,1000517
3851,1000517
3852,1000517
3853,1000517
3854,1000517
3855,1000517
3856,1000517
3857,1000517
3858,1000517
3859,1000517
3860,1000517
3861,1000517
3862,1000517
3863,1000517
3864,1000517
3865,1000517
3866,1000517
3867,1000517
3868,1000517
3869,1000517
3870,1000517
3871,1000517
3872,1000517
3873,1000518
3874,1000518
3875,1000518
3876,1000518
3877,1000518
3878,1000518
3879,1000518
3880,1000518
3881,1000518
3882,1000518
3883,1000518
3884,1000518
3885,1000518
3886,1000518
3887,1000518
3888,1000518
3889,1000518
3890,1000518
3891,1000518
3892,1000518
3893,1000518
3894,1000518
3895,1000518
3896,1000518
