id,desktop_inventory,desktop_inventory_element,desktop_inventory_element_result,process_result_state,process_result_type,detail,complete_description,commentaries,desktop_inventory_partial_inventory
1423976,11359,1226936,1191646,OK,OK,NULL,NULL,"Element OK.",94
1423977,11359,1226951,1191647,OK,OK,NULL,NULL,"Element OK.",94
1423978,11359,1226941,1191648,OK,OK,NULL,NULL,"Element OK.",94
1423979,11359,1226938,1191649,OK,OK,NULL,NULL,"Element OK.",94
1423980,11359,1226952,1191650,OK,OK,NULL,NULL,"Element OK.",94
1423981,11359,1226967,1191651,OK,OK,NULL,NULL,"Element OK.",94
1423982,11359,1226963,1191652,OK,OK,NULL,NULL,"Element OK.",94
1423983,11359,1226970,1191653,OK,OK,NULL,NULL,"Element OK.",94
1423984,11359,1226964,1191654,OK,OK,NULL,NULL,"Element OK.",94
1423985,11359,1226968,1191655,OK,OK,NULL,NULL,"Element OK.",94
1423986,11359,1226966,1191656,OK,OK,NULL,NULL,"Element OK.",94
1423987,11359,1226969,1191657,OK,OK,NULL,NULL,"Element OK.",94
1423988,11359,1226946,1191658,OK,OK,NULL,NULL,"Element OK.",94
1423989,11359,1226935,1191659,OK,OK,NULL,NULL,"Element OK.",94
1423990,11359,1226950,1191660,OK,OK,NULL,NULL,"Element OK.",94
1423991,11359,1226933,1191661,OK,OK,NULL,NULL,"Element OK.",94
1423992,11359,1226937,1191662,OK,OK,NULL,NULL,"Element OK.",94
1423993,11359,1226949,1191663,OK,OK,NULL,NULL,"Element OK.",94
1423994,11359,1226934,1191664,OK,OK,NULL,NULL,"Element OK.",94
1423995,11359,1226959,1191665,OK,OK,NULL,NULL,"Element OK.",94
1423996,11359,1226960,1191666,OK,OK,NULL,NULL,"Element OK.",94
1423997,11359,1226942,1191667,OK,OK,NULL,NULL,"Element OK.",94
1423998,11359,1226945,1191668,OK,OK,NULL,NULL,"Element OK.",94
1423999,11359,1226947,1191669,OK,OK,NULL,NULL,"Element OK.",94
1424000,11359,1226939,1191670,OK,OK,NULL,NULL,"Element OK.",94
1424001,11359,1226944,1191671,OK,OK,NULL,NULL,"Element OK.",94
1424002,11359,1226961,1191672,OK,OK,NULL,NULL,"Element OK.",94
