id,desktop_inventory_process_result_detail,element_transfer_order,element_transfer_order_detail
2913,1011807,52592,190365
2914,1011809,52592,190366
2915,1011818,52592,190367
2916,1011820,52592,190368
2917,1011822,52592,190369
2918,1011716,52592,190370
2919,1011718,52592,190371
2920,1011720,52592,190372
2921,1011722,52592,190373
2922,1011724,52592,190374
2923,1011726,52592,190375
2924,1011728,52592,190376
2925,1011730,52592,190377
2926,1011732,52592,190378
2927,1011734,52592,190379
2928,1011736,52592,190380
2929,1011738,52592,190381
2930,1011740,52592,190382
2931,1011744,52592,190383
2932,1011746,52592,190384
2933,1011748,52592,190385
2934,1011750,52592,190386
2935,1011752,52592,190387
2936,1011754,52592,190388
2937,1011756,52592,190389
2938,1011758,52592,190390
2939,1011764,52592,190391
2940,1011766,52592,190392
2941,1011767,52592,190393
2942,1011769,52592,190394
2943,1011775,52592,190395
2944,1011777,52592,190396
2945,1011803,52592,190397
2946,1011805,52592,190398
2947,1011807,52592,190399
2948,1011809,52592,190400
2949,1011818,52592,190401
2950,1011820,52592,190402
2951,1011822,52592,190403
2952,1011825,52593,190404
2953,1011825,52593,190405
2954,1011708,52594,190406
2955,1011708,52594,190407
2956,1011710,52595,190408
2957,1011710,52595,190409
2958,1011706,52596,190410
2959,1011714,52596,190411
2960,1011742,52596,190412
2961,1011760,52596,190413
2962,1011762,52596,190414
2963,1011771,52596,190415
2964,1011773,52596,190416
2965,1011779,52596,190417
2966,1011781,52596,190418
2967,1011783,52596,190419
2968,1011785,52596,190420
2969,1011788,52596,190421
2970,1011790,52596,190422
2971,1011792,52596,190423
2972,1011794,52596,190424
2973,1011796,52596,190425
2974,1011798,52596,190426
2975,1011800,52596,190427
2976,1011801,52596,190428
2977,1011811,52596,190429
2978,1011814,52596,190430
2979,1011816,52596,190431
2980,1011706,52596,190432
2981,1011714,52596,190433
2982,1011742,52596,190434
2983,1011760,52596,190435
2984,1011762,52596,190436
2985,1011771,52596,190437
2986,1011773,52596,190438
2987,1011779,52596,190439
2988,1011781,52596,190440
2989,1011783,52596,190441
2990,1011785,52596,190442
2991,1011788,52596,190443
2992,1011790,52596,190444
2993,1011792,52596,190445
2994,1011794,52596,190446
2995,1011796,52596,190447
2996,1011798,52596,190448
2997,1011800,52596,190449
2998,1011801,52596,190450
2999,1011811,52596,190451
3000,1011814,52596,190452
3001,1011816,52596,190453
3002,1011824,52597,190454
3003,1011824,52597,190455
3004,1011712,52598,190456
3005,1011712,52598,190457
3006,1011827,52599,190458
3007,1011829,52599,190459
3008,1011827,52599,190460
3009,1011829,52599,190461
3245,1072906,59855,222982
3270,1083128,60047,224087
3271,1083129,60047,224088
3294,1087004,60166,224623
3378,1102357,60570,226337
3379,1102358,60570,226338
3380,1102359,60570,226339
3381,1102360,60570,226340
3382,1102361,60570,226341
3383,1102362,60570,226342
3384,1102363,60570,226343
3385,1102364,60570,226344
3430,1115096,60822,227279
3432,1116170,60862,227395
3439,1118131,60936,228037
3440,1118132,60936,228038
3502,1136586,61468,230008
3503,1136587,61468,230009
3504,1136588,61468,230010
3505,1136589,61468,230011
3506,1136590,61468,230012
3507,1136591,61468,230013
3508,1136592,61468,230014
3509,1136593,61468,230015
3907,1253074,64667,243927
3908,1253075,64667,243928
3909,1253076,64667,243929
3910,1253077,64667,243930
3944,1262416,64942,245010
3953,1271361,65201,246016
3995,1280936,65391,246586
4135,1322161,66402,250318
4540,1325557,67949,256678
4685,1381822,68200,257895
4759,1373132,68425,258896
4760,1373132,68425,258897
4761,1373132,68425,258898
4762,1373132,68425,258899
4810,1324350,68668,259790
6512,1601443,82077,316720
6513,1601443,82077,316721
6514,1601443,82077,316722
6515,1601443,82077,316723
6516,1601438,82078,316724
6517,1601438,82078,316725
6518,1601438,82078,316726
6519,1601438,82078,316727
8585,2275980,114263,451937
9285,2410519,118099,465490
9286,2410520,118099,465491
9472,2445037,119184,471573
10130,2528887,121072,478427
10131,2528876,121073,478428
10132,2528881,121074,478429
10133,2528882,121074,478430
10134,2528883,121074,478431
10135,2528886,121074,478432
10136,2528878,121075,478433
10137,2528879,121075,478434
10138,2528880,121075,478435
10139,2528877,121076,478436
10140,2528884,121076,478437
10141,2528885,121077,478438
11281,2676821,124734,491474
11282,2676822,124734,491475
11283,2676823,124734,491476
11284,2676824,124734,491477
11285,2676825,124734,491478
11286,2676826,124734,491479
11287,2676827,124734,491480
11288,2676828,124734,491481
11289,2676829,124734,491482
11290,2676830,124734,491483
11291,2676831,124734,491484
11292,2676832,124734,491485
11293,2676833,124734,491486
11294,2676834,124734,491487
11295,2676835,124734,491488
11296,2676836,124734,491489
11297,2676837,124734,491490
11298,2676838,124734,491491
11299,2676839,124734,491492
11300,2676840,124734,491493
11301,2676841,124734,491494
11302,2676842,124734,491495
11303,2676843,124734,491496
11304,2676844,124734,491497
11305,2676845,124734,491498
11306,2676846,124734,491499
11307,2676847,124734,491500
11308,2676848,124734,491501
11309,2676849,124734,491502
11310,2676850,124734,491503
11311,2676851,124734,491504
11312,2676852,124734,491505
11313,2676853,124734,491506
11314,2676854,124734,491507
11315,2676855,124734,491508
11316,2676856,124734,491509
11317,2676857,124734,491510
11318,2676858,124734,491511
11319,2676859,124734,491512
11320,2676860,124734,491513
11321,2676861,124734,491514
11322,2676862,124734,491515
11323,2676863,124734,491516
11324,2676864,124734,491517
11325,2676865,124734,491518
11326,2676866,124734,491519
11327,2676867,124734,491520
11328,2676868,124734,491521
11329,2676869,124734,491522
11330,2676870,124734,491523
11331,2676871,124734,491524
11332,2676872,124734,491525
11333,2676873,124734,491526
11334,2676874,124734,491527
11335,2676875,124734,491528
11336,2676876,124734,491529
11337,2676877,124734,491530
11338,2676878,124734,491531
11339,2676879,124734,491532
11340,2676880,124734,491533
11341,2676881,124734,491534
11342,2676882,124734,491535
11343,2676883,124734,491536
11344,2676884,124734,491537
11345,2676885,124734,491538
11346,2676886,124734,491539
11347,2676887,124734,491540
11348,2676888,124734,491541
11349,2676889,124734,491542
11350,2676890,124734,491543
11351,2676891,124734,491544
11352,2676892,124734,491545
11353,2676893,124734,491546
11354,2676894,124734,491547
11355,2676895,124734,491548
11356,2676896,124734,491549
11357,2676897,124734,491550
11358,2676898,124734,491551
11359,2676899,124734,491552
11360,2676900,124734,491553
11361,2676901,124734,491554
11362,2676902,124734,491555
11363,2676903,124734,491556
11364,2676904,124734,491557
11365,2676905,124734,491558
11366,2676906,124734,491559
11367,2676907,124734,491560
11368,2676908,124734,491561
11369,2676909,124734,491562
11370,2676910,124734,491563
11371,2676911,124734,491564
11372,2676912,124734,491565
11373,2676913,124734,491566
11374,2676914,124734,491567
11375,2676915,124734,491568
11376,2676916,124734,491569
11377,2676917,124734,491570
11378,2676918,124734,491571
11379,2676919,124734,491572
11380,2676920,124734,491573
11381,2676921,124734,491574
11382,2676922,124734,491575
11383,2676923,124734,491576
11384,2676924,124734,491577
11385,2676925,124734,491578
11386,2676926,124734,491579
11387,2676927,124734,491580
11388,2676928,124734,491581
11389,2676929,124734,491582
