id,desktop_inventory,desktop_inventory_element,desktop_inventory_element_result,process_result_state,process_result_type,detail,complete_description,commentaries,desktop_inventory_partial_inventory
233389,2210,294347,225916,PENDING,DIFFERENCE,"Element with difference: model, serial, millicom_code, element_type_asset, element_category_asset","[model: Elem = 1003046 - Res = 1003044], [serial: Elem = C01G064316 - Res = C01G106801], [millicom_code: Elem = C04G101033 - Res = C01G106801], [element_type_asset: Elem = 22 - Res = 100], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233390,2210,294348,225915,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_type_asset, element_category_asset","[millicom_code: Elem = C04G101030 - Res = C01G106800], [element_type_asset: Elem = 22 - Res = 101], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233391,2210,294349,225914,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_type_asset, element_category_asset","[millicom_code: Elem = C04G101029 - Res = C01G106799], [element_type_asset: Elem = 22 - Res = 101], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233392,2210,294350,225912,PENDING,DIFFERENCE,"Element with difference: model, millicom_code, element_category_asset","[model: Elem = 1003044 - Res = 1002743], [millicom_code: Elem = C04G101032 - Res = C01G106797], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233393,2210,294351,225913,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_category_asset","[millicom_code: Elem = C04G101037 - Res = C01G106798], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233394,2210,294352,225911,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_type_asset, element_category_asset","[millicom_code: Elem = C04G101027 - Res = C01G106796], [element_type_asset: Elem = 22 - Res = 101], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233395,2210,294353,225910,PENDING,DIFFERENCE,"Element with difference: millicom_code, is_asset, element_category_asset","[millicom_code: Elem = null - Res = C01G106795], [is_asset: Elem = N - Res = Y], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233396,2210,294354,225909,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_category_asset","[millicom_code: Elem = C04G101028 - Res = C01G106794], [element_category_asset: Elem = 17 - Res = 6]",NULL,NULL
233397,2210,294355,225908,PENDING,DIFFERENCE,"Element with difference: serial, millicom_code","[serial: Elem = C01G064305 - Res = C01G106793], [millicom_code: Elem = C01G100477 - Res = C01G106793]",NULL,NULL
233398,2210,294356,225906,PENDING,DIFFERENCE,"Element with difference: millicom_code, element_type_asset","[millicom_code: Elem = C01G100466 - Res = C01G106791], [element_type_asset: Elem = 22 - Res = 18]",NULL,NULL
