id,report,element,quantity
62207,3,31660,1
62208,3,31702,1
62209,3,31703,1
62211,3,31775,1
62213,3,31845,1
62219,3,32757,1
62220,3,32761,1
62222,3,32786,1
62223,3,32797,1
62224,3,32800,1
62227,3,32826,1
62228,3,32827,1
62229,3,32828,1
62230,3,32840,1
62237,3,33568,1
62239,3,33935,1
62240,3,34312,1
62242,3,34425,1
62243,3,34426,1
62244,3,34433,1
62245,3,34471,1
62246,3,34479,1
62247,3,34480,1
62248,3,34481,1
62249,3,34818,1
62250,3,34824,1
62251,3,35027,1
62257,3,40602,1
62260,3,41197,1
62261,3,41219,1
62269,3,43341,1
62277,3,44738,1
62278,3,44775,1
62299,3,58366,1
62336,3,75949,1
62674,3,161146,1
62681,3,161645,1
62740,3,177975,1
62851,3,198955,1
62852,3,198956,1
62853,3,198965,1
63374,3,8566,1
63752,3,95819,1
63944,3,131982,1
63945,3,131983,1
63946,3,131984,1
63947,3,131985,1
64118,3,149452,42
64148,3,150189,1
64149,3,150190,1
64150,3,150191,1
64151,3,150192,1
64152,3,150193,1
64153,3,150194,1
64270,3,154638,1
64392,3,167448,2
64651,3,187131,12
65060,3,147710,1
72380,3,162005,1
73829,3,189581,1
73830,3,189582,1
73831,3,189583,1
73832,3,189584,1
73833,3,189585,1
73834,3,189586,1
73835,3,189587,1
73836,3,189588,1
73837,3,189589,1
73838,3,189590,1
73839,3,189591,1
73840,3,189592,1
73841,3,189593,1
73842,3,189594,1
73843,3,189595,1
73844,3,189596,1
73845,3,189597,1
73846,3,189598,1
73847,3,189599,1
73848,3,189600,1
73849,3,189601,1
73850,3,189602,1
73851,3,189603,1
73852,3,189604,1
73853,3,189605,1
73854,3,189606,1
73855,3,189607,1
73856,3,189608,1
73857,3,189609,1
73858,3,189610,1
73859,3,189611,1
73860,3,189612,1
73861,3,189613,1
73862,3,189614,1
73863,3,189615,1
73864,3,189616,1
73865,3,189617,1
74543,3,294131,1
74544,3,294173,1
74548,3,294177,1
74560,3,294333,1
74568,3,294341,1
74572,3,294348,1
74581,3,295825,1
75260,3,308521,1
79570,3,130013,1
83460,4,38979,1
83461,4,38980,1
83690,4,89547,1
84477,4,4895,1
84478,4,4904,1
84568,4,52664,1
84614,4,65293,1
85842,4,269485,1
86185,4,130014,1
86186,4,130015,1
86187,4,130016,1
86188,4,130017,1
87476,4,10,1
87633,4,51533,1
87637,4,54980,1
87638,4,54985,1
89778,4,311378,1
89864,4,70219,1
89866,4,82180,1
89867,4,82506,1
89868,4,82507,1
89869,4,82508,1
89870,4,82509,1
89871,4,94018,1
89872,4,94019,1
89873,4,94020,1
89874,4,94021,1
89875,4,95212,4
89876,4,95213,3
89877,4,95214,3
89878,4,95215,3
89879,4,95216,3
89880,4,98694,1
89881,4,95217,3
89882,4,95218,3
89883,4,95889,1
89884,4,97726,1
89885,4,97727,1
89886,4,97728,1
89887,4,97729,1
89888,4,97730,1
89889,4,97731,1
89890,4,97732,1
89891,4,98691,1
89892,4,98692,1
89893,4,98693,1
89894,4,147225,6
89895,4,147226,1
90016,4,134415,1
90100,4,251202,1
90102,4,251204,1
90103,4,251205,1
90104,4,251206,1
90316,4,74227,1
90318,4,74305,1
90320,4,74607,1
90321,4,74618,1
90322,4,74619,1
90323,4,74620,1
90325,4,74633,1
90326,4,74637,1
90329,4,74642,1
90330,4,74643,1
90331,4,74645,1
90334,4,74674,1
90335,4,74687,1
90336,4,74689,1
90337,4,74697,1
90340,4,74710,1
90342,4,75280,1
90343,4,75441,1
90344,4,75476,1
90345,4,75490,1
90346,4,75521,1
90347,4,75523,1
90348,4,75527,1
90349,4,75529,1
90350,4,75681,1
90351,4,75682,1
90352,4,75704,1
90353,4,75705,1
90354,4,75852,1
90355,4,75853,1
90356,4,75855,1
90357,4,75856,1
90359,4,76144,1
90360,4,76149,1
90361,4,76289,1
90472,4,94037,1
90648,4,135199,1
91254,4,68610,1
91510,4,259849,1
91511,4,259850,1
91513,4,259852,1
91514,4,259853,1
91516,4,259855,1
91517,4,259856,1
91518,4,259857,1
91519,4,259858,1
91520,4,259859,1
91521,4,259860,1
91522,4,259861,1
91523,4,259862,1
91524,4,259863,1
91525,4,259864,1
91526,4,259865,1
91527,4,259866,1
91528,4,259867,1
91529,4,259868,1
91530,4,259869,1
98594,4,108012,2
102121,4,51085,1
102122,4,51101,1
102169,4,68587,1
102176,4,69020,1
102178,4,70122,1
102240,4,74512,1
102246,4,74788,1
102247,4,74797,1
102257,4,76318,1
102263,4,77046,1
102264,4,77052,1
102412,4,2727,1
102413,4,2759,1
102414,4,2763,1
102418,4,6741,1
102419,4,7485,1
102420,4,7565,1
102421,4,7612,1
102425,4,7658,1
102428,4,12195,1
102453,4,44318,1
102455,4,44823,1
102458,4,51164,1
102462,4,51341,1
102463,4,52259,1
102464,4,52260,1
102722,4,5028,1
102730,4,12120,1
102750,4,51584,1
103357,4,198000,1
103365,4,214944,1
103366,4,214945,1
103367,4,214946,1
103371,4,214958,1
103709,4,8373,1
103833,4,28743,1
103834,4,28768,1
103837,4,28863,1
103839,4,29124,1
103840,4,29149,1
103841,4,29168,1
103842,4,29169,1
103843,4,29170,1
103844,4,29203,1
103847,4,29421,1
103848,4,29534,1
103852,4,30036,1
103854,4,31453,1
103857,4,31517,1
103859,4,31572,1
103860,4,31601,1
103862,4,31629,1
103864,4,31660,1
103865,4,31702,1
103866,4,31703,1
103868,4,31775,1
103870,4,31845,1
103876,4,32757,1
103877,4,32761,1
103879,4,32786,1
103880,4,32797,1
103881,4,32800,1
103884,4,32826,1
103885,4,32827,1
103886,4,32828,1
103887,4,32840,1
103894,4,33568,1
103896,4,33935,1
103897,4,34312,1
103899,4,34425,1
103900,4,34426,1
103901,4,34433,1
103902,4,34471,1
103903,4,34479,1
103904,4,34480,1
103905,4,34481,1
103906,4,34818,1
103907,4,34824,1
103908,4,35027,1
103914,4,40602,1
103917,4,41197,1
103918,4,41219,1
103926,4,43341,1
103934,4,44738,1
103935,4,44775,1
103956,4,58366,1
103995,4,75949,1
104330,4,161146,1
104337,4,161645,1
104396,4,177975,1
104512,4,198955,1
104513,4,198956,1
104514,4,198965,1
105033,4,8566,1
105368,4,95819,1
105558,4,131982,1
105559,4,131983,1
105560,4,131984,1
105561,4,131985,1
105731,4,149452,42
105761,4,150189,1
105762,4,150190,1
105763,4,150191,1
105764,4,150192,1
105765,4,150193,1
105766,4,150194,1
105883,4,154638,1
106002,4,167448,2
106261,4,187131,12
106668,4,147710,1
114038,4,162005,1
115484,4,189581,1
115485,4,189582,1
115486,4,189583,1
115487,4,189584,1
115488,4,189585,1
115489,4,189586,1
115490,4,189587,1
115491,4,189588,1
115492,4,189589,1
115493,4,189590,1
115494,4,189591,1
115495,4,189592,1
115496,4,189593,1
115497,4,189594,1
115498,4,189595,1
115499,4,189596,1
115500,4,189597,1
115501,4,189598,1
115502,4,189599,1
115503,4,189600,1
115504,4,189601,1
115505,4,189602,1
115506,4,189603,1
115507,4,189604,1
115508,4,189605,1
115509,4,189606,1
115510,4,189607,1
115511,4,189608,1
115512,4,189609,1
115513,4,189610,1
115514,4,189611,1
115515,4,189612,1
115516,4,189613,1
115517,4,189614,1
115518,4,189615,1
115519,4,189616,1
115520,4,189617,1
116192,4,294131,1
116193,4,294173,1
116197,4,294177,1
116209,4,294333,1
116217,4,294341,1
116221,4,294348,1
116230,4,295825,1
116906,4,308521,1
121191,4,130013,1
125103,5,38979,1
125104,5,38980,1
125333,5,89547,1
126120,5,4895,1
126121,5,4904,1
126211,5,52664,1
126257,5,65293,1
127485,5,269485,1
127828,5,130014,1
127829,5,130015,1
127830,5,130016,1
127831,5,130017,1
129119,5,10,1
129276,5,51533,1
129280,5,54980,1
129281,5,54985,1
131421,5,311378,1
131507,5,70219,1
